"","year","state","county","total","male","female","over 65 male","over 65 female","under 21 male","under 21 female"
"1",2009,"13","091",19695,10779,8916,1009,1584,4225,2292
"2",2009,"13","093",11641,6216,5425,575,846,1686,1598
"3",2009,"13","095",95330,44169,51161,4468,7226,16558,16038
"4",2009,"13","097",122657,59981,62676,3812,5208,21574,20803
"5",2009,"13","099",11812,5417,6395,695,1105,1934,1991
"6",2009,"13","101",4157,2324,1833,143,173,683,695
"7",2009,"13","103",50357,25007,25350,1895,2377,8837,8545
"8",2009,"13","105",20574,9842,10732,1274,1945,3178,3126
"9",2009,"13","107",22620,11185,11435,1144,1844,3972,3511
"10",2009,"13","109",11446,5374,6072,531,907,1904,1953
"11",2009,"13","111",22434,10735,11699,2019,2656,2665,2457
"12",2009,"13","113",105303,51449,53854,5330,6638,18078,16901
"13",2009,"13","115",95239,46345,48894,5321,8182,15501,14867
"14",2009,"13","117",157514,79649,77865,5568,7023,27259,25530
"15",2009,"13","119",21701,10473,11228,1419,2096,3124,3336
"16",2009,"13","121",987148,485887,501261,30923,46423,150759,144366
"17",2009,"13","123",28381,14493,13888,1973,2212,4142,3670
"18",2009,"13","125",2736,1329,1407,147,304,493,329
"19",2009,"13","127",74507,35873,38634,4544,6241,11329,10895
"20",2009,"13","129",51760,26138,25622,2348,3374,8812,7749
"21",2009,"13","131",24801,11858,12943,1229,1921,4316,4009
"22",2009,"13","133",15629,7551,8078,1272,1551,2085,2005
"23",2009,"13","135",766912,386017,380895,20961,27928,138412,129965
"24",2009,"13","137",41790,19096,22694,2633,3594,6108,7754
"25",2009,"13","139",177685,89805,87880,7476,9812,30643,29584
"26",2009,"13","141",9449,4963,4486,574,767,1598,1360
"27",2009,"13","143",28559,13854,14705,1672,2293,4656,4377
"28",2009,"13","145",28884,14331,14553,1536,1929,4466,3964
"29",2009,"13","147",24088,11860,12228,1700,2347,3528,3291
"30",2009,"13","149",11423,5638,5785,541,760,1823,1714
"31",2009,"13","151",182952,89583,93369,5568,7615,33493,31391
"32",2009,"13","153",130910,63446,67464,5677,8123,22846,21078
"33",2009,"13","155",10138,5594,4544,735,750,1544,1151
"34",2009,"13","157",58644,28913,29731,2848,4080,9218,8853
"35",2009,"13","159",13588,6752,6836,672,877,2191,2020
"36",2009,"13","161",13312,6493,6819,731,940,2174,2209
"37",2009,"13","163",16480,7786,8694,868,1462,2963,2575
"38",2009,"13","165",8532,4144,4388,537,692,1177,1422
"39",2009,"13","167",9202,4732,4470,468,765,1135,1311
"40",2009,"13","169",27256,13173,14083,1406,1913,4214,4100
